,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
280,모두의떡볶이,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
281,짱구호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,굽네치킨 당산2동점,38,16,17,1,2,7,0,0,3,0,0,0,0,6,0
283,용춘,14,3,4,0,0,0,0,0,1,1,0,0,0,0,0
284,본죽앤비빔밥장승배기역점,223,86,28,38,52,64,4,0,17,2,3,0,3,58,41
285,그리들,14,8,7,0,0,6,2,0,4,4,0,0,0,0,0
286,야곱의축복 신촌점,62,23,15,25,0,4,1,0,8,1,1,0,0,8,1
287,가락보쌈,195,75,52,80,0,29,9,1,23,31,3,0,1,41,25
288,신대박 700 양꼬치,9,6,3,1,0,1,0,0,1,0,0,0,0,3,3
289,떡볶이순정,48,23,22,4,10,4,0,0,2,0,0,0,0,3,0
290,남산옥,138,53,21,21,13,10,2,0,6,11,2,0,0,16,23
291,캐치,0,15,2,0,0,6,11,0,1,0,5,0,3,0,0
292,신선푸드,20,14,13,10,5,2,1,0,3,0,0,0,0,11,1
293,즐거운세상,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0
294,브라더한정식도시락 여의도점,8,2,4,1,2,1,0,0,1,1,0,0,0,4,0
295,우리집손두부,303,66,119,58,16,6,2,6,40,9,2,0,4,75,5
296,이루다,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
297,사또집,16,5,3,7,3,0,0,0,1,1,0,0,0,3,0
298,천리향,30,9,7,8,5,2,0,0,0,0,0,0,0,4,0
299,남매칼국수,13,8,5,3,3,1,0,1,1,0,0,0,0,1,0
300,이비자,0,30,13,0,0,28,35,0,3,0,20,0,15,0,0
301,현가츠,98,24,20,16,18,20,4,1,7,4,2,0,3,24,13
302,피자애 삼각산점,37,14,22,2,3,7,3,0,0,0,0,0,0,8,0
303,신의주 부대찌개,109,31,15,24,5,20,0,0,6,4,2,0,1,17,9
304,명지각,12,0,2,2,1,0,0,0,0,0,0,0,0,1,0
305,마루,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,청진동해장국,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0
307,아모르,0,62,2,0,0,28,27,0,35,0,6,0,3,0,0
308,부산아지매국밥 도곡점,60,29,9,10,34,25,0,0,5,3,0,0,0,6,4
309,밥짓는집,115,37,16,7,34,8,7,0,5,1,3,0,4,17,7
310,세컨디포레스트 송리단길점,752,388,149,287,19,286,226,99,271,12,24,0,23,198,40
311,맘스터치 독산지식산업센터점,255,71,73,33,83,46,3,2,22,3,5,0,1,41,6
312,키친 브로망스,66,33,16,16,0,10,35,22,31,4,0,0,1,29,7
313,명원,50,18,8,6,10,1,0,1,0,0,0,0,0,10,1
314,이모네,25,9,2,7,0,0,0,0,0,1,0,0,0,0,0
315,도라무통즉석떡볶이,119,53,42,50,2,21,6,0,6,9,1,0,2,24,16
316,김밥천국,181,40,82,19,95,15,2,1,1,1,3,0,0,9,5
317,드래그,0,15,9,0,0,5,9,0,5,0,0,0,0,0,0
318,통큰갈비,134,80,72,42,1,16,4,3,6,22,4,0,2,25,27
319,황제,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
320,카페플러스,0,5,4,0,0,3,2,0,1,0,0,0,1,0,0
321,키움참치,27,20,7,9,0,6,0,3,14,6,0,0,0,25,5
322,둘둘치킨,42,22,5,3,0,1,0,0,0,1,1,0,1,0,0
323,그린호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,미스터마,3,6,2,0,0,3,3,0,0,2,2,0,0,0,0
325,더 플레이스 코엑스점,657,243,104,57,5,179,188,132,173,125,12,0,9,165,350
326,오미야게,57,18,7,6,8,4,0,0,7,0,0,0,0,22,0
327,남길참치,73,21,25,12,3,17,7,5,8,14,2,0,1,34,18
328,네네치킨면목2점,24,1,1,3,2,1,0,0,1,0,1,0,0,3,5
329,24시 찹쌀순대,252,48,41,46,60,21,2,2,5,10,5,0,2,34,37
330,완도집,26,10,9,0,2,2,0,1,1,2,0,0,2,3,2
331,은하별,1,1,2,0,0,2,1,0,2,0,0,0,0,0,0
332,문학식당,15,6,3,3,3,0,0,0,0,0,0,0,0,3,0
333,한씨네춘천닭갈비,32,8,8,11,0,1,0,1,6,3,1,0,0,5,3
334,호남식당,10,4,1,2,2,0,0,0,2,0,0,0,1,3,1
335,신전떡볶이,108,22,26,17,14,1,0,0,3,0,0,0,1,5,1
336,가마로강정 왕십리점,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
337,라비냐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,가마솥 바베큐,7,0,1,2,0,0,0,0,1,0,0,0,0,0,0
339,원조 황소곱창,84,48,6,21,0,24,4,8,28,19,14,0,0,27,19
340,우장산 정육 식당,129,98,47,41,1,51,1,21,8,26,12,0,0,33,13
341,엽기떡볶이,144,28,20,43,7,10,1,1,10,3,1,0,1,17,22
